n,data_type,algorithm,time_sec,peak_mem_kb
1000,random,merge_sort,0.0068600749982579146,17.63671875
1000,random,randomized_quick_sort,0.009946402002242394,2.3046875
1000,random,merge_sort,0.00901782000073581,17.03515625
1000,random,randomized_quick_sort,0.008301595000375528,2.2734375
1000,random,merge_sort,0.007010907000221778,16.98046875
1000,random,randomized_quick_sort,0.009308418000728125,2.5234375
1000,random,merge_sort,0.00992575399868656,16.98046875
1000,random,randomized_quick_sort,0.008348362000106135,2.2734375
1000,random,merge_sort,0.007060669999191305,16.98046875
1000,random,randomized_quick_sort,0.009585047999280505,2.5546875
1000,sorted,merge_sort,0.0046475090020976495,19.67578125
1000,sorted,randomized_quick_sort,0.010645777001627721,2.3203125
1000,sorted,merge_sort,0.004638411999621894,19.67578125
1000,sorted,randomized_quick_sort,0.009702467003080528,2.1015625
1000,sorted,merge_sort,0.004645064000214916,19.67578125
1000,sorted,randomized_quick_sort,0.010196579001785722,2.3828125
1000,sorted,merge_sort,0.0046657330021844245,19.67578125
1000,sorted,randomized_quick_sort,0.010370894000516273,2.4609375
1000,sorted,merge_sort,0.004654772998037515,19.67578125
1000,sorted,randomized_quick_sort,0.010747255997557659,2.6328125
1000,rev_sorted,merge_sort,0.004673687999456888,19.67578125
1000,rev_sorted,randomized_quick_sort,0.009358536000945605,2.2734375
1000,rev_sorted,merge_sort,0.004704263999883551,19.67578125
1000,rev_sorted,randomized_quick_sort,0.00952134899853263,2.3359375
1000,rev_sorted,merge_sort,0.004826663000130793,19.67578125
1000,rev_sorted,randomized_quick_sort,0.009146460000920342,2.5078125
1000,rev_sorted,merge_sort,0.004677634999097791,19.67578125
1000,rev_sorted,randomized_quick_sort,0.009675928002252476,2.0546875
1000,rev_sorted,merge_sort,0.004683434999606106,19.67578125
1000,rev_sorted,randomized_quick_sort,0.011832088999653934,2.1953125
5000,random,merge_sort,0.06972787900303956,82.44140625
5000,random,randomized_quick_sort,0.062253187999885995,2.6796875
5000,random,merge_sort,0.06793827100045746,82.11328125
5000,random,randomized_quick_sort,0.06070308599737473,2.8671875
5000,random,merge_sort,0.06623843000124907,82.11328125
5000,random,randomized_quick_sort,0.05928479000067455,2.9296875
5000,random,merge_sort,0.06908570100131328,82.11328125
5000,random,randomized_quick_sort,0.06104755900014425,3.2109375
5000,random,merge_sort,0.0686565010000777,82.11328125
5000,random,randomized_quick_sort,0.06918195999969612,3.1796875
