n,data_type,algorithm,time_sec,peak_mem_kb
20000,random,randomized_quick_sort,0.32821518999844557,3.8046875
20000,random,merge_sort,0.3567135160010366,335.41796875
20000,random,randomized_quick_sort,0.30869582100058324,3.6484375
20000,random,merge_sort,0.36418326900093234,335.41796875
20000,random,randomized_quick_sort,0.31330911700206343,3.5234375
20000,random,merge_sort,0.4900901690016326,335.41796875
20000,random,randomized_quick_sort,0.3033543180026754,3.4296875
20000,random,merge_sort,0.36638327300170204,335.41796875
20000,random,randomized_quick_sort,0.3202040770011081,3.7265625
20000,sorted,merge_sort,0.21088201600286993,390.76953125
20000,sorted,randomized_quick_sort,0.30531325199990533,3.4453125
20000,sorted,merge_sort,0.20932687499953317,390.76953125
20000,sorted,randomized_quick_sort,0.29525456999908783,3.6015625
20000,sorted,merge_sort,0.2081434169995191,390.76953125
20000,sorted,randomized_quick_sort,0.30679447500006063,3.4296875
20000,sorted,merge_sort,0.20787074899999425,390.76953125
20000,sorted,randomized_quick_sort,0.2973386279991246,3.6171875
20000,sorted,merge_sort,0.20830508899962297,390.76953125
20000,sorted,randomized_quick_sort,0.3177506909996737,3.3359375
20000,rev_sorted,merge_sort,0.21484859399788547,390.76953125
20000,rev_sorted,randomized_quick_sort,0.3060339660005411,3.7578125
20000,rev_sorted,merge_sort,0.21385278700108756,390.76953125
20000,rev_sorted,randomized_quick_sort,0.2918301630015776,3.5078125
20000,rev_sorted,merge_sort,0.21325091399921803,390.76953125
20000,rev_sorted,randomized_quick_sort,0.32023892299912404,3.6484375
20000,rev_sorted,merge_sort,0.2961594750013319,390.76953125
20000,rev_sorted,randomized_quick_sort,0.2882818850011972,3.4296875
20000,rev_sorted,merge_sort,0.22114973700081464,390.76953125
20000,rev_sorted,randomized_quick_sort,0.31283738700221875,4.0703125
